author,comment,timestamp,like_count,tipe_produk,brand,segment,release_date
@unicornputih160,Kak apakah Realme C61 punya Gyroscope ? Saya baru CO  kemarin,2024-10-09T13:33:23Z,0,Realme C61,Realme,Entry-Level,September 2024
@ZulfaZulki,realme c61 sama realme c63 bagusan mana kak?,2024-06-29T23:59:43Z,0,Realme C61,Realme,Entry-Level,September 2024
@putunesimbahmangun6061,Menurut mimin bagus mana realme C53 vs C61?,2024-06-29T16:12:33Z,0,Realme C61,Realme,Entry-Level,September 2024
@mudranbayi,Kontrol center pas layar di kunci gak bisa dimatiin layar terlalu responsif,2024-11-08T16:43:58Z,0,Realme C61,Realme,Entry-Level,September 2024
@satriamugana5367,cukup menarik infonya. terima kasih kk ya,2024-11-01T12:46:35Z,0,Realme C61,Realme,Entry-Level,September 2024
@agungnugroho8443,Nonton video ini pake poco x6 pro😅,2024-11-01T02:03:40Z,0,Realme C61,Realme,Entry-Level,September 2024
@nekonimenekonime5711,Realme sekarang bukan realme yg dulu hari hari daur ulang mesin ganti nama jual 😂,2024-11-01T01:49:49Z,0,Realme C61,Realme,Entry-Level,September 2024
@jokobintangmas8152,Pamornya udah kalah sama infinix tp menggap dirinya setara oppo ( ya itu realme ) 😅,2024-11-01T00:51:21Z,1,Realme C61,Realme,Entry-Level,September 2024
@didininaninu,"realme kameranya burik pas langsung cekrek di galeri.
tp pas kirim ke wa HD jd lumayan.trus buat main ML panas padahl medium setingan. main 1_2match.batre agak boros.",2024-10-31T12:32:45Z,0,Realme C61,Realme,Entry-Level,September 2024
@sukajujur9053,Realme badut🤭🤭,2024-10-31T12:29:15Z,2,Realme C61,Realme,Entry-Level,September 2024
